QuestionID,CategoryID,QuestionText,QuestionOrder,IsActive_x,CreatedDate_x,ModifiedDate_x,CategoryName,AnswerOptionID,OptionText,OptionOrder,IsActive_y,CreatedDate_y,ModifiedDate_y,Year
1,1,What is your age?,1,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,1,Under 18,1,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
1,1,What is your age?,1,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,2,18-30,2,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
1,1,What is your age?,1,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,3,31-50,3,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
1,1,What is your age?,1,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,4,Over 50,4,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
2,1,What is your highest level of education?,2,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,5,High School,1,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
2,1,What is your highest level of education?,2,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,6,Bachelor's Degree,2,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
2,1,What is your highest level of education?,2,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,7,Master's Degree,3,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
2,1,What is your highest level of education?,2,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Demographics,8,Doctorate,4,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
3,2,How familiar are you with Topic A?,3,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic A,9,Not at all familiar,1,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
3,2,How familiar are you with Topic A?,3,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic A,10,Somewhat familiar,2,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
3,2,How familiar are you with Topic A?,3,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic A,11,Very familiar,3,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
3,2,How familiar are you with Topic A?,3,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic A,12,Expert,4,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
4,3,Have you participated in research on Topic B before?,4,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic B,13,Yes,1,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
4,3,Have you participated in research on Topic B before?,4,True,2024-09-24 14:30:23.756666,2024-09-24 14:30:23.756666,Research Topic B,14,No,2,True,2024-09-24 14:30:35.863333,2024-09-24 14:30:35.863333,2021
1,1,What is your age group?,1,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,1,18-25,1,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
1,1,What is your age group?,1,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,2,26-35,2,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
